source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date
FROM SKILLED NURSING OR ICF	8863	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8863	Visit	2020-09-29	2099-12-31
FROM AMB SURG CENTER	8883	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8883	Visit	2020-09-29	2099-12-31
FROM SHANDS REHAB	8920	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8920	Visit	2020-09-29	2099-12-31
FROM SHANDS VISTA	8971	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	8971	Visit	2020-09-29	2099-12-31
EMERGENCY ROOM	9203	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	9203	Visit	2020-09-29	2099-12-31
COURT OR LAW ENFORCEMENT	38003619	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	38003619	Visit	2020-09-29	2099-12-31
CLINIC OR PHYSICIAN REFERRAL	38004207	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	38004207	Visit	2020-09-29	2099-12-31
OUTPATIENT SERVICE	38004207	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	38004207	Visit	2020-09-29	2099-12-31
FROM ANOTHER TYPE OF HEALTHCARE FACILITY	38004277	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	38004277	Visit	2020-09-29	2099-12-31
ORGAN PROCUREMENT	38004352	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	38004352	Visit	2020-09-29	2099-12-31
HOMECARE	38004519	Admit Source	ALL_ADMIT_SOURCES.STNDRD_LABEL	38004519	Visit	2020-09-29	2099-12-31
?	0	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
CANCELLED ACCOUNT	0	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
TO ANOTHER TYPE OF HEALTHCARE FACILITY	0	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
TO HOME	0	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
TO HOME IV PROVIDER	0	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
TO HOME PLANNED READMIT	0	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
UNKNOWN	0	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	0	Visit	2020-09-29	2099-12-31
TO HOSPICE FACILITY	8546	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8546	Visit	2020-09-29	2099-12-31
TO HOSPICE HOME	8546	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8546	Visit	2020-09-29	2099-12-31
ADMITTED	8717	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
TO ALTERNATIVE LEVEL OF CARE	8717	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
TO ALTERNATIVE LEVEL OF CARE PLANNED READMIT	8717	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
TO ANOTHER HOSPITAL	8717	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
TO ANOTHER HOSPITAL PLANNED READMIT	8717	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
TO CANCER CENTER OR CHILDRENS HOSP	8717	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
TO CANCER CENTER OR CHILDRENS HOSP PLANNED READMIT	8717	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
TO FEDERAL HOSPITAL	8717	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
TO FEDERAL HOSPITAL PLANNED READMIT	8717	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8717	Visit	2020-09-29	2099-12-31
TO CUSTODIAL CARE	8827	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8827	Visit	2020-09-29	2099-12-31
TO CUSTODIAL CARE PLANNED READMIT	8827	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8827	Visit	2020-09-29	2099-12-31
TO SKILLED NURSING	8863	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8863	Visit	2020-09-29	2099-12-31
TO SKILLED NURSING PLANNED READMIT	8863	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8863	Visit	2020-09-29	2099-12-31
TO REHAB	8920	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8920	Visit	2020-09-29	2099-12-31
TO REHAB PLANNED READMIT	820	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8920	Visit	2020-09-29	2099-12-31
TO INTERMEDIATE CARE FACILITY	8951	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8951	Visit	2020-09-29	2099-12-31
TO OTHER PSYCHIATRIC FACILITY	8971	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8971	Visit	2020-09-29	2099-12-31
TO OTHER PSYCHIATRIC FACILITY PLANNED READMIT	8971	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8971	Visit	2020-09-29	2099-12-31
TO SHANDS PSYCHIATRIC FACILITY	8971	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	8971	Visit	2020-09-29	2099-12-31
TO CRITICAL ACCESS HOSPITAL	32276	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	32276	Visit	2020-09-29	2099-12-31
TO CRITICAL ACCESS HOSPITAL PLANNED READMIT	32276	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	32276	Visit	2020-09-29	2099-12-31
AMA	4021968	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	4021968	Visit	2020-09-29	2099-12-31
EXPIRED AUT	4216643	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	4216643	Visit	2020-09-29	2099-12-31
EXPIRED AUT UNK	4216643	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	4216643	Visit	2020-09-29	2099-12-31
EXPIRED NO AUT	4216643	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	4216643	Visit	2020-09-29	2099-12-31
LWBS	37117117	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	37117117	Visit	2020-09-29	2099-12-31
TO COURT OR LAW ENFORCEMENT	38003619	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	38003619	Visit	2020-09-29	2099-12-31
TO COURT OR LAW ENFORCEMENT PLANNED READMIT	38003619	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	38003619	Visit	2020-09-29	2099-12-31
TO LONG TERM CARE HOSPITAL	38004277	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	38004277	Visit	2020-09-29	2099-12-31
TO LONG TERM CARE HOSPITAL PLANNED READMIT	38004277	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	38004277	Visit	2020-09-29	2099-12-31
ORGAN PROCUREMENT	38004352	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	38004352	Visit	2020-09-29	2099-12-31
TO HOMECARE	38004519	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	38004519	Visit	2020-09-29	2099-12-31
TO HOMECARE PLANNED READMIT	38004519	Discharge Dis	ALL_DISCHARGE_DISPOSITIONS.STNDRD_LABEL	38004519	Visit	2020-09-29	2099-12-31
?	0	Ethnicity	ALL_ETHNIC_GROUPS.STNDRD_LABEL	0	Ethnicity	2020-09-29	2099-12-31
PATIENT REFUSED	0	Ethnicity	ALL_ETHNIC_GROUPS.STNDRD_LABEL	0	Ethnicity	2020-09-29	2099-12-31
UNKNOWN	0	Ethnicity	ALL_ETHNIC_GROUPS.STNDRD_LABEL	0	Ethnicity	2020-09-29	2099-12-31
HISPANIC	38003563	Ethnicity	ALL_ETHNIC_GROUPS.STNDRD_LABEL	38003563	Ethnicity	2020-09-29	2099-12-31
NOT HISPANIC	38003564	Ethnicity	ALL_ETHNIC_GROUPS.STNDRD_LABEL	38003564	Ethnicity	2020-09-29	2099-12-31
SOFA - CARDIOVASCULAR	0	Flowsheet	SOFA_DTL.CARDIOVASCULAR	0	Measurement	2020-09-29	2099-12-31
SOFA - CNS	0	Flowsheet	SOFA_DTL.CNS	0	Measurement	2020-09-29	2099-12-31
SOFA - COAGULATION	0	Flowsheet	SOFA_DTL.COAGULATION	0	Measurement	2020-09-29	2099-12-31
SOFA - LIVER	0	Flowsheet	SOFA_DTL.LIVER	0	Measurement	2020-09-29	2099-12-31
SOFA - RENAL	0	Flowsheet	SOFA_DTL.RENAL	0	Measurement	2020-09-29	2099-12-31
SOFA - RESPIRATION	0	Flowsheet	SOFA_DTL.RESPIRATION	0	Measurement	2020-09-29	2099-12-31
RESP RATE - Adult Spont	1175625	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	1175625	Measurement	2020-09-29	2099-12-31
RESP RATE - Peds Spont	1175625	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	1175625	Measurement	2020-09-29	2099-12-31
VENT MODE - Adult	3004921	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3004921	Measurement	2020-09-29	2099-12-31
VENT MODE - Peds	3004921	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3004921	Measurement	2020-09-29	2099-12-31
O2 FLOW RATE - L/MIN	3005629	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3005629	Measurement	2020-09-29	2099-12-31
O2 FLOW RATE - mL/MIN	3005629	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3005629	Measurement	2020-09-29	2099-12-31
GCS SCORE - Adult	3007194	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3007194	Measurement	2020-09-29	2099-12-31
GCS SCORE - Peds	3007194	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3007194	Measurement	2020-09-29	2099-12-31
TIDAL VOLUME	3012410	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3012410	Measurement	2020-09-29	2099-12-31
PEEP	3016226	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3016226	Measurement	2020-09-29	2099-12-31
FIO2	3020716	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3020716	Measurement	2020-09-29	2099-12-31
TEMPERATURE	3020891	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3020891	Measurement	2020-09-29	2099-12-31
RESP RATE	3024171	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3024171	Measurement	2020-09-29	2099-12-31
WEIGHT	3025315	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3025315	Measurement	2020-09-29	2099-12-31
HEART RATE	3027018	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3027018	Measurement	2020-09-29	2099-12-31
RESP DEVICE	3027094	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3027094	Measurement	2020-09-29	2099-12-31
ETCO2	3035357	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3035357	Measurement	2020-09-29	2099-12-31
ETCO2 - Oral/Nasal	3035357	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3035357	Measurement	2020-09-29	2099-12-31
PAIN SCALE - Peds Wong-Baker	3035486	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3035486	Measurement	2020-09-29	2099-12-31
HEIGHT	3036277	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3036277	Measurement	2020-09-29	2099-12-31
RESP RATE - Mech	3043148	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	3043148	Measurement	2020-09-29	2099-12-31
PIP	4101694	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	4101694	Measurement	2020-09-29	2099-12-31
VENT START - Adult	4160040	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	4160040	Measurement	2020-09-29	2099-12-31
VENT START - Peds	4160040	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	4160040	Measurement	2020-09-29	2099-12-31
VENT STOP - Adult	4262328	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	4262328	Measurement	2020-09-29	2099-12-31
VENT STOP - Peds	4262328	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	4262328	Measurement	2020-09-30	2099-12-31
BP - Art Line DBP	21490851	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	21490851	Measurement	2020-09-29	2099-12-31
DBP - Unknown Method	4152194	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	4152194	Measurement	2021-06-01	2099-12-31
SBP - Unknown Method	4154790	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	4154790	Measurement	2021-06-01	2099-12-31
MAP - Art Line	21490852	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	21490852	Measurement	2020-09-29	2099-12-31
MAP - Central Venous	21490852	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	21490852	Measurement	2020-09-29	2099-12-31
MAP - Pulmonary	21490852	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	21490852	Measurement	2020-09-29	2099-12-31
BP - Art Line SBP	21490853	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	21490853	Measurement	2020-09-29	2099-12-31
MAP - Cuff	21492241	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	21492241	Measurement	2020-09-29	2099-12-31
MAP - Non Invasive	21492241	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	21492241	Measurement	2020-09-29	2099-12-31
ROTHMAN SCORE	36203395	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	36203395	Measurement	2020-09-29	2099-12-31
SOFA_SCORE	36684937	Flowsheet	SOFA_DTL.SOFA_SCORE	36684937	Measurement	2020-09-29	2099-12-31
TIDAL VOLUME EXHALED	40760767	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	40760767	Measurement	2020-09-29	2099-12-31
SPO2	40762499	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	40762499	Measurement	2020-09-29	2099-12-31
PAIN SCALE	43055141	Flowsheet	ALL_FLOWSHEET_MEASURES.STNDRD_LABEL_DTL	43055141	Measurement	2020-09-29	2099-12-31
QTCB	46235174	Flowsheet	ECG_DTL.QTCB	46235174	Measurement	2020-09-29	2099-12-31
Payer	762460	Observation	DWS_PROD.dbo.ALL_BENEFIT_PLANS; more logic involved	762460	Observation	2020-09-29	2099-12-31
LDA - intubation tube type	3046315	Observation	DWS_PROD.dbo.LDA_AIRWAY_DTL	3046315	Observation	2020-09-29	2099-12-31
Zipcode	4083591	Observation	DWS_PROD.dbo.ALL_PATIENT_SNAPSHOTS; more logic involved	4083591	Observation	2020-09-29	2099-12-31
ICU stay Y/N	4148981	Observation	EVENT_SUMMARY.ICU_STAY_YN; more logic involved	4148981	Observation	2020-09-29	2099-12-31
SMOKING STATUS	4275495	Observation	ALL_TOBACCO_USER_CODES.TOBACCO_USER_CD_DESC and ALL_SMOKING_STATUSES.SMOKNG_STAT_CD_DESC	4275495	Observation	2020-09-29	2099-12-31
LDA - intubation start and end times	36304639	Observation	DWS_PROD.dbo.LDA_AIRWAY_DTL	36304639	Observation	2020-09-29	2099-12-31
Mechanical vent use - invasive	46273390	Observation	PATIENT_ENCOUNTER_DAILY_SUMMARY.VENT_IND	46273390	Observation	2020-09-29	2099-12-31
Mechanical vent use - non-invasive	46273390	Observation	PATIENT_ENCOUNTER_DAILY_SUMMARY.NONINVASIVE_VENT_IND	46273390	Observation	2020-09-29	2099-12-31
INPATIENT	8717	Patient Type	ALL_PATIENT_ADT_CLASSES.STNDRD_LABEL	8717	Visit	2020-10-13	2099-12-31
AMBULATORY SURGERY	8883	Patient Type	ALL_PATIENT_ADT_CLASSES.STNDRD_LABEL	8883	Visit	2020-10-13	2099-12-31
?	9202	Patient Type	ALL_PATIENT_ADT_CLASSES.STNDRD_LABEL	9202	Visit	2020-10-13	2099-12-31
CM PENDING	9202	Patient Type	ALL_PATIENT_ADT_CLASSES.STNDRD_LABEL	9202	Visit	2020-10-13	2099-12-31
OBSERVATION	9202	Patient Type	ALL_PATIENT_ADT_CLASSES.STNDRD_LABEL	9202	Visit	2020-10-13	2099-12-31
OUTPATIENT	9202	Patient Type	ALL_PATIENT_ADT_CLASSES.STNDRD_LABEL	9202	Visit	2020-10-13	2099-12-31
RECURRING OUTPATIENT	9202	Patient Type	ALL_PATIENT_ADT_CLASSES.STNDRD_LABEL	9202	Visit	2020-10-13	2099-12-31
EMERGENCY	9203	Patient Type	ALL_PATIENT_ADT_CLASSES.STNDRD_LABEL	9203	Visit	2020-10-13	2099-12-31
?	8552	Race	ALL_RACES.STNDRD_LABEL	0	Race	2020-09-29	2099-12-31
HISPANIC	4188159	Race	ALL_RACES.STNDRD_LABEL	0	Race	2020-09-29	2099-12-31
MULTI-RACIAL	4212311	Race	ALL_RACES.STNDRD_LABEL	0	Race	2020-09-29	2099-12-31
MULTIRACIAL	4212311	Race	ALL_RACES.STNDRD_LABEL	0	Race	2020-09-29	2099-12-31
OTHER	8522	Race	ALL_RACES.STNDRD_LABEL	0	Race	2020-09-29	2099-12-31
PATIENT REFUSED	8552	Race	ALL_RACES.STNDRD_LABEL	0	Race	2020-09-29	2099-12-31
UNKNOWN	8552	Race	ALL_RACES.STNDRD_LABEL	0	Race	2020-09-29	2099-12-31
ASIAN	8515	Race	ALL_RACES.STNDRD_LABEL	8515	Race	2020-09-29	2099-12-31
BLACK	8516	Race	ALL_RACES.STNDRD_LABEL	8516	Race	2020-09-29	2099-12-31
BLACK HISPANIC	8516	Race	ALL_RACES.STNDRD_LABEL	8516	Race	2020-09-29	2099-12-31
WHITE	8527	Race	ALL_RACES.STNDRD_LABEL	8527	Race	2020-09-29	2099-12-31
WHITE HISPANIC	8527	Race	ALL_RACES.STNDRD_LABEL	8527	Race	2020-09-29	2099-12-31
PACIFIC ISLANDER	8557	Race	ALL_RACES.STNDRD_LABEL	8557	Race	2020-09-29	2099-12-31
AMERICAN INDIAN	8657	Race	ALL_RACES.STNDRD_LABEL	8657	Race	2020-09-29	2099-12-31
?	8551	Sex	ALL_SEXES.STNDRD_LABEL	0	Gender	2020-09-29	2099-12-31
INDETERMINATE	8570	Sex	ALL_SEXES.STNDRD_LABEL	0	Gender	2020-09-29	2099-12-31
NONBINARY	8570	Sex	ALL_SEXES.STNDRD_LABEL	0	Gender	2020-09-29	2099-12-31
OTHER	8521	Sex	ALL_SEXES.STNDRD_LABEL	0	Gender	2020-09-29	2099-12-31
UNKNOWN	8551	Sex	ALL_SEXES.STNDRD_LABEL	0	Gender	2020-09-29	2099-12-31
MALE	8507	Sex	ALL_SEXES.STNDRD_LABEL	8507	Gender	2020-09-29	2099-12-31
FEMALE	8532	Sex	ALL_SEXES.STNDRD_LABEL	8532	Gender	2020-09-29	2099-12-31
